Geography,Count of 1,Sum of MIN Tract,Sum of LMI Tract,Sum of Total Persons,Sum of Total Families,Sum of Total HHs,Sum of Total Female Pop,Sum of Total Male Pop,Sum of Total Minority Pop,Average of Minority Pop as Percent of Tract Pop,Sum of Total Pop Hispanic only,Sum of Total Pop Non-Hispanic White,Sum of Total Pop Non-Hispanic American Indian/Alaska Native,Sum of Total Pop Non-Hispanic Native Hawaiian/other Pacific Islander,Sum of Total Pop Non-Hispanic Black/African American,Sum of Total Pop Non-Hispanic Asian,Sum of Total Pop Householder in Family HHs,Sum of Total Pop in Family HHs,Sum of Total Male Householders in Family HHs,Sum of Total Female Householders in Family HHs,Sum of Total Spouse Householder in Family HHs,Sum of Total Children in Family HHs,Sum of Total Grandchildren in Family HHs,Sum of Total Parents in Family HHs,Sum of Total Other Relatives in Family HHs,Sum of Total Non-relatives in Family HHs,Sum of Total Pop in Non-Family HHs,Sum of Total Male Households in Non-Family HHs,Sum of Total Male Householders living alone in Non-Family HHs,Sum of Total Male Householders not living alone in Non-Family HHs,Sum of Total Female Householders in Non-Family HHs,Sum of Total Female Householders living alone in Non-Family HHs,Sum of Total Female Householders not living alone in Non-Family HHs,Sum of Total nonrelatives in Non-Family HHs,Sum of Total Pop in Group Quarters,Sum of Total Pop 65 years and over,Sum of Total Population,Sum of Total Male Pop2,Sum of Total Male Pop 18 to 24 years,Sum of Total Male Pop 25 to 39 years,Sum of Total Male Pop 40 to 49 years,Sum of Total Male Pop 50 to 61 years,Sum of Total Male Pop 62 years and over,Sum of Total Female Pop2,Sum of Total Female Pop 18 to 24 years,Sum of Total Female Pop 25 to 39 years,Sum of Total Female Pop 40 to 49 years,Sum of Total Female Pop 50 to 61 years,Sum of Total Female Pop 62 years and over,Sum of Total Male/Female Pop 18 to 24 years,Sum of Total Male/Female Pop 25 to 39 years,Sum of Total Male/Female Pop 40 to 49 years,Sum of Total Male/Female Pop 50-61 years,Sum of Total Male/Female Pop 62 years and over,Average of Female Median Age,Average of Male Median Age,Average of Persons Median Age,Sum of Total Male Pop 16 and over,Sum of Total Male Pop 16 and over in Labor Force,Sum of Total Male Pop 16 and over in Armed Forces,Sum of Total Male Pop 16 and over - Civilians,Sum of Total Male Pop 16  and over - Employed,Sum of Total Male Pop 16 and over - Unemployed,Sum of Total Male Pop 16 and over - Not in Labor Force,Sum of Total Female Pop 16 and over,Sum of Total Female Pop 16 and over in Labor Force,Sum of Total Female Pop 16 and over in Armed Forces,Sum of Total Female Pop 16 and over - Civilians,Sum of Total Female Pop 16  and over - Employed,Sum of Total Female Pop 16 and over - Unemployed,Sum of Total Female Pop 16 and over - Not in Labor Force,Average of MFI - White,Average of MFI - Black,Average of MFI - American Indian/Alaska Native,Average of MFI - Asian,Average of MFI - Native Hawaiian/Pacific Islander,Average of MFI - Some other race,Average of MFI - Two or more races,Average of MFI - Hispanic or Latino,"Average of MFI - White, not Hispanic",Sum of Total Families2,Sum of Total Families with Income Below Poverty,Sum of Total Housing Units,Sum of Total Housing Units - Occupancy Status,Sum of Total Occupied Housing Units,Sum of Total Vacant Housing Units,Sum of Total Occupied Housing Units - Tenure,Sum of Total Owner Occupied Housing Units - Tenure,Sum of Total Renter Occupied Housing Units - Tenure,Average of Median Year Structure Built,Average of Median Gross Rent - Dollars,Average of Median Value (Dollars) for all Owner Occupied Housing Units,Average of MFI as Percent of MSA MFI,Average of MSA MFI,Sum of Low Income,Sum of Moderate Income,Sum of Middle Income,Count of Upper Income,Sum of LMI Pop,Sum of MIN Pop
"Pueblo, CO",55,23,20,159063,40247,61418,80862,78201,73009,46.08272727,65811,86054,985,111,2646,1123,40247,126410,23165,17082,28639,44724,4501,1527,2259,3189,25534,9965,8318,1647,11206,9756,1450,4363,4300,23620,159063,78201,7625,14064,10115,12795,13491,80862,7316,14235,10344,13642,16521,14941,28299,20459,26437,30012,38.36363636,35.96363636,37.14545455,58820,37704,234,36085,33670,3800,21116,63096,34962,24,33779,31775,3163,28134,48130.89091,4109.581818,6026.727273,8660.036364,0,33901.52727,25454.49091,43024.4,50172.87273,40247,5477,68570,68570,61418,7152,61418,42914,18504,1859.945455,670.3454545,126563.6364,92.83272727,52800,4,16,17,55,12396,65836
"Punta Gorda, FL",39,0,3,159978,48044,71991,82216,77762,22350,12.65051282,9213,137628,348,49,8622,1884,48044,128362,30637,17407,39636,31034,1975,2042,1734,2889,28830,10678,8620,2058,13269,11497,1772,4883,2193,52329,159978,77762,4598,9014,8779,13133,30480,82216,4014,8490,9050,15797,33745,8612,17504,17829,28930,64225,55.35897436,53.35897436,54.23076923,67210,33723,60,30138,29531,4132,33487,71933,30991,0,28418,27837,3154,40942,53230.15385,24838.53846,1385.692308,27669.69231,0,9394,7157.74359,33018.28205,53473.87179,48044,3540,99422,99422,71991,27431,71991,58377,13614,1935.641026,929.6923077,212579.4872,100.8928205,58400,0,3,27,39,0,0
"Racine, WI",45,5,9,195408,50561,75546,98637,96771,49994,25.546,22546,145414,614,40,21212,2081,50561,158433,30786,19775,38134,56811,3436,1411,2241,4106,29697,11413,9368,2045,13572,11720,1852,4712,6606,24803,195408,96771,8445,18007,14745,16713,14091,98637,7433,17831,14866,17029,17738,15878,35838,29611,33742,31829,38.82222222,37.24444444,37.95555556,74474,52956,64,50962,48300,4592,21518,77110,47837,0,46352,44365,3472,29273,66419.04444,27710.42222,5555.577778,31807.24444,0,30759.93333,12607.46667,48968.91111,68091.71111,50561,4107,81565,81565,75546,6019,75546,52833,22713,1921.2,742.8,174702.2222,98.23311111,65500,2,7,23,45,9193,21508
"Raleigh, NC",224,43,71,1130490,273490,407344,578382,552108,413607,35.69602679,114512,716883,3479,355,223870,49535,273490,875208,163857,109633,214034,320997,12994,8266,17574,17912,171184,62215,47452,14763,71639,60993,10646,37330,23302,92433,1130490,552108,53570,125612,87561,77213,56987,578382,51141,131990,90882,84431,74658,104711,257602,178443,161644,131645,36.64285714,34.91517857,35.84375,394769,309218,1162,298993,287500,20556,85551,423518,272649,23,265657,254298,18328,150869,84635.28571,55435.01339,1190.616071,51206.08929,0,18260,16061.80357,37455.75446,86536.72768,273490,21034,446498,446498,407344,39154,407344,276445,130899,1898.433036,835.5,226236.6071,104.9459375,78800,16,55,74,224,69147,234916
"Rapid City, SD",32,0,8,168248,44296,66675,83720,84528,24660,17.0315625,5954,143588,10624,116,1657,1419,44296,130972,27555,16741,34890,43913,2046,405,1541,3123,28221,11323,8855,2468,11056,9224,1832,5842,5211,21799,168248,84528,8541,15950,10654,14770,13436,83720,7075,15735,10723,15033,15404,15616,31685,21377,29803,28840,38.1875,35.96875,37.21875,64259,47889,3471,42258,41849,2569,16370,64622,41610,474,39388,39191,1945,23012,58055.53125,11532.5625,20327.78125,9361.09375,0,7810.34375,22395.84375,32008.8125,57923.21875,44296,3560,74899,74899,66675,8224,66675,46435,20240,1976.46875,695.125,145453.125,99.0440625,65200,1,7,19,32,744,0
"Reading, PA",90,24,27,411442,106995,153307,209578,201864,95036,28.52822222,67355,316406,536,58,16517,5244,106995,335115,64917,42078,81450,117871,6869,3626,6285,9520,57535,21914,16546,5368,24398,20938,3460,11223,14660,58290,411442,201864,20584,35279,30041,33339,32234,209578,20496,36058,30747,33546,40982,41080,71337,60788,66885,73216,38.74444444,36.26666667,37.47777778,155721,111625,242,106107,102047,9336,44096,165401,101387,103,97634,93971,7313,64014,60294.25556,29434.02222,0,29053.93333,0,17148.91111,16231.38889,29377.92222,62733.76667,106995,9581,163574,163574,153307,10267,153307,112068,41239,1961.022222,755.8777778,149558.8889,92.81633333,67600,18,9,46,90,61494,79656
"Redding, CA",48,0,12,177223,45805,69100,90093,87130,31179,17.13145833,14878,146044,4162,232,1438,4297,45805,145019,26782,19023,34317,48657,3643,2106,3535,5408,29361,10801,8547,2254,12494,10749,1745,6066,2526,28712,177223,87130,8202,14619,11281,15513,16998,90093,7787,14536,11983,16565,20087,15989,29155,23264,32078,37085,43.08333333,40.14583333,41.6875,68923,42061,200,39778,36384,5477,26862,72599,37659,90,36002,33759,3810,34940,58041.125,12341.125,15661.52083,36151.14583,0,11344.3125,17450.85417,38880.625,58823.64583,45805,5830,76782,76782,69100,7682,69100,45574,23526,1978.708333,894.25,275735.4167,102.9227083,56300,0,12,24,48,0,0
"Reno, NV",114,18,34,429427,104361,164449,212595,216832,144150,31.57035088,94180,285277,5896,2382,9168,21420,104361,332147,61410,42951,77323,115685,6494,4875,7566,10378,80457,31609,23506,8103,28479,22589,5890,20369,8272,48778,429427,216832,23081,42962,30857,35658,32313,212595,22072,41197,29679,35579,35295,45153,84159,60536,71237,67608,36.73684211,35.78070175,36.15789474,166486,123947,576,117979,112826,10545,42539,165360,106213,155,101421,97832,8226,59147,66351.16667,13805.26316,7903.719298,48764.16667,3410.526316,27391.65789,23764.80702,45417.12281,69175.25439,104361,8644,185754,185754,164449,21305,164449,100147,64302,1791.938596,1067.333333,285495.6053,97.25026316,63500,10,24,37,114,43006,70501
"Richmond, VA",306,107,106,1420809,354409,527280,730769,690040,557596,42.26218954,68266,863213,5795,650,413760,40490,354409,1119446,196372,158037,257814,396157,29473,15796,25232,25143,218245,73145,58231,14914,99726,84766,14960,45374,57863,166001,1420809,690040,67984,138244,104427,114141,96476,730769,67903,140648,109588,125080,125969,135887,278892,214015,239221,222445,38.69281046,35.96405229,37.31045752,529196,370914,4774,351555,339508,26632,158282,575445,357000,1689,342926,330502,24809,218445,74268.46405,57406.85294,3085.392157,27127.81373,0,7482.660131,19293.88889,28198.56863,75163.85948,354409,25633,580475,580475,527280,53195,527280,369595,157685,1934.72549,905.4738562,222574.8366,98.71624183,77600,29,77,109,306,90011,405138
"Riverside-San Bernardino-Ontario, CA",822,545,279,4224851,949542,1263031,2123768,2101083,2678185,60.90255474,1996402,1546666,19454,11694,301523,249899,949542,3629248,558357,391185,693852,1448004,120143,69841,160626,119197,414762,151293,112098,39195,162196,135493,26703,101273,70741,416280,4224851,2101083,237021,420511,290916,284327,247355,2123768,221612,423646,291114,294351,299302,458633,844157,582030,578678,546657,35.41970803,33.49878345,34.49391727,1506202,1061135,16589,1011954,929932,114614,445067,1544937,858182,1299,832904,759066,97817,686755,66316.19343,46426.84915,12313.58273,51856.46959,1829.159367,52794.1983,37956.27737,56165.63625,71837.78224,949542,103129,1474437,1474437,1263031,211406,1263031,855253,407778,1924.875912,1203.636253,312485.1582,101.526837,60500,47,232,295,822,241210,2998750
"Roanoke, VA",67,6,17,338699,90893,140697,175443,163256,62975,19.56850746,10350,275724,629,86,40838,5368,90893,265573,53443,37450,67830,85772,5770,2714,4264,5566,59256,21291,17535,3756,28513,25115,3398,9452,9980,53029,338699,163256,14264,28970,23866,29466,29676,175443,15195,29664,24610,31525,39023,29459,58634,48476,60991,68699,42.29850746,39.95522388,41.31343284,128683,88517,195,84099,82803,5519,40166,143043,84517,36,80771,80304,4177,58526,63662.14925,41348.25373,0,26102.52239,0,3494.014925,4050.850746,24095.61194,64047.67164,90893,7557,156236,156236,140697,15539,140697,100002,40695,1970.402985,709.4328358,169514.9254,101.8619403,62000,3,14,30,67,13194,27775
"Rochester, MN",53,0,11,269506,71964,105358,136471,133035,29424,12.10056604,9509,240082,471,67,7125,8279,71964,221656,45097,26867,60534,78626,2173,1224,1853,3980,40195,15194,12219,2975,18200,15741,2459,6801,4493,37027,269506,133035,9879,26374,18881,22119,20922,136471,9796,26322,18883,22494,25512,19675,52696,37764,44613,46434,39.98113208,37.88679245,38.94339623,100633,76886,152,72831,72853,3881,23747,105669,71529,0,68726,68974,2555,34140,76462.98113,10557.20755,0,43861.24528,0,10933.60377,6575.981132,34345.73585,77186.0566,71964,3961,114778,114778,105358,9420,105358,83666,21692,1972.471698,732.0566038,173430.1887,101.1560377,81700,0,11,33,53,0,0
"Rochester, NY",273,58,82,1105019,277075,429725,568044,536975,231852,27.14732601,65561,873167,2461,242,116668,26744,277075,861701,156786,120289,205761,312354,16434,8159,14095,20107,191613,69164,52981,16183,83486,70641,12845,38963,47022,152286,1105019,536975,60649,93245,78175,92082,85016,568044,58777,97304,82590,96967,109729,119426,190549,160765,189049,194745,38.63736264,36.07326007,37.38827839,421355,287517,499,275182,265522,21496,133838,456936,273632,80,264096,256198,17354,183304,61439.4359,27847.40293,2466.018315,24798.22344,0,8885.747253,10036.35897,25520.7033,61836.30037,277075,24667,478588,478588,429725,48863,429725,299899,129826,1908.098901,733.8754579,114349.8168,91.63728938,69700,41,41,127,273,91435,144368
"Rockford, IL",84,15,33,349431,88824,130374,178045,171386,94478,30.6797619,43144,254953,631,76,36334,7389,88824,291182,52413,36411,66414,109141,7030,3141,6011,7643,50312,19254,15796,3458,22296,19385,2911,8762,6045,45074,349431,171386,14914,32342,25013,27880,25769,178045,14555,33194,25168,28697,32635,29469,65536,50181,56577,58404,38.39285714,36.78571429,37.98809524,129917,92508,93,88664,81816,10599,37409,138197,82703,12,79634,75668,7023,55494,57254.08333,27537.91667,2544.97619,31809.07143,839.0595238,18323.27381,7705.880952,37787.19048,58214.07143,88824,9735,144882,144882,130374,14508,130374,93629,36745,1942.095238,716.3571429,125157.1429,90.82880952,63100,10,23,32,84,28770,48080
"Rockingham County-Strafford County, NH",91,0,19,418366,109780,161298,212468,205898,26145,6.052417582,8343,392221,652,134,2934,8081,109780,340363,65530,44250,90594,118514,4237,3172,4592,7545,67052,23707,16607,7100,27811,21921,5890,15534,9381,49202,418366,205898,20278,34870,34689,38423,30129,212468,19985,35693,35995,38951,36495,40263,70563,70684,77374,66624,40.40659341,38.83516484,39.61538462,162626,125984,493,120194,118153,7338,36642,171369,113388,111,109160,106432,6845,57981,85560.53846,7465.769231,4372.901099,33141.86813,0,2633.89011,17935.21978,27995.73626,85638.1978,109780,4380,176484,176484,161298,15186,161298,121436,39862,1930.802198,1010.230769,291108.7912,99.64978022,89200,1,18,50,91,1718,0
"Rocky Mount, NC",32,16,6,152392,39902,59363,79878,72514,79262,53.535,8119,73130,695,24,67767,826,39902,124734,21379,18523,26890,44238,4388,1551,3239,2647,22110,8095,6909,1186,11366,10535,831,2649,3805,20369,152392,72514,6396,12858,10387,12705,11394,79878,6418,14114,11490,14123,15693,12814,26972,21877,26828,27087,40.90625,37.5625,39.375,54737,36887,60,35364,33067,3760,17850,63101,36159,10,34913,32385,3764,26942,62599,39684.46875,10570.78125,2043.28125,0,7705.8125,6995.875,27970.03125,63310.875,39902,5234,66660,66660,59363,7297,59363,37647,21716,1980.03125,654.1875,100028.125,103.2521875,48000,0,6,18,32,0,67906
"Rome, GA",20,5,6,96317,24356,34977,49677,46640,25358,27.7235,8987,70959,194,56,13494,1225,24356,78689,14283,10073,17895,27704,2798,1071,2034,1938,13275,4322,3445,877,6299,5726,573,2654,3846,13441,96317,46640,4734,9057,6371,7285,7265,49677,5205,8920,6656,7808,9571,9939,17977,13027,15093,16836,38.2,35.3,36.9,35872,23698,22,22700,21595,2081,12174,39282,21406,0,20487,19631,1775,17876,51858.2,27962.8,0,21207.45,0,10134.1,9991.1,14645.45,53182.05,24356,3247,40307,40307,34977,5330,34977,23471,11506,1971.35,659.35,116035,98.862,49800,0,6,8,20,0,21243
"Sacramento-Roseville-Arden-Arcade, CA",486,170,151,2149127,517461,775432,1095677,1053450,951738,41.84567901,433734,1197389,12606,14874,150424,250690,517461,1719669,291791,225670,379422,635990,35542,27576,46528,49197,345476,115443,83746,31697,142528,113711,28817,87505,41947,245536,2149127,1053450,111981,214478,148944,161660,142831,1095677,109966,215639,153030,175081,180573,221947,430117,301974,336741,323404,37.88271605,35.58847737,36.75102881,794397,554280,1855,533946,496117,56308,240117,844354,504856,341,489095,461324,43191,339498,76424.09259,35268.7284,11283.70576,61863.94856,6808.271605,41522.37037,39751.15021,59859.99794,78593.38066,517461,44134,861862,861862,775432,86430,775432,486536,288896,1875.393004,1128.139918,359533.7469,102.6793416,71500,37,114,185,486,153770,840562
"Saginaw, MI",56,14,20,200169,51118,76764,103398,96771,58982,33.78464286,15573,141187,660,55,37222,2067,51118,165178,29187,21931,36701,64278,4096,1242,2942,3602,31889,11426,9448,1978,14220,12414,1806,6243,5269,29709,200169,96771,10517,16399,13063,16544,16280,103398,10701,16932,13679,18086,21127,21218,33331,26742,34630,37407,40.125,37.10714286,38.78571429,76037,46237,36,44783,39593,6608,29800,83632,46494,23,45188,41424,5047,37138,50922.30357,35232.32143,4178.964286,21806.03571,0,20840.46429,17523.98214,46382.96429,50972.08929,51118,7063,87292,87292,76764,10528,76764,57189,19575,1961.410714,680.75,100267.8571,94.16732143,54400,7,13,23,56,16719,38764
"Salem, OR",70,9,14,390738,96240,140463,196932,193806,113278,27.544,85682,277460,4670,2455,3300,7193,96240,313947,56025,40215,73473,113966,5493,2666,7958,10264,55416,18456,13722,4734,25767,21934,3833,11193,14276,50069,390738,193806,20227,38919,24922,29069,28478,196932,19459,37125,24115,31081,35629,39686,76044,49037,60150,64107,37.01428571,34.78571429,35.92857143,145161,98900,318,95176,88492,10090,46261,149877,87143,37,84331,79279,7827,62734,58712.44286,4880.671429,24379.18571,24666.95714,3142.514286,28872.31429,29768.1,42947.21429,60521.61429,96240,10717,149201,149201,140463,8738,140463,89039,51424,1975.014286,775.9428571,212408.5714,101.5031429,57200,0,14,41,70,0,57956
"Salinas, CA",94,61,25,415057,89606,124963,201626,213431,278622,60.85617021,230003,136435,1361,1868,11300,23777,89606,341875,55587,34019,65402,129166,8235,6377,19476,15564,48081,16285,11804,4481,19072,15750,3322,12724,17479,42555,415057,213431,24951,48402,28496,29502,24996,201626,21302,41442,25235,29092,30626,46253,89844,53731,58594,55622,35.58510638,34,34.82978723,160116,113000,4782,103878,97778,10440,47116,150615,89244,1228,84804,78447,9569,61371,69558.38298,23779.38298,5121.851064,68515.24468,10369.79787,44919.34043,39236.19149,54760.43617,83094.80851,89606,9454,138833,138833,124963,13870,124963,66731,58232,1888,1168.117021,506089.4362,105.7651064,65000,4,21,35,94,24795,297119
"Salisbury, MD-DE",99,8,16,400272,99972,150716,203636,196636,116557,24.27393939,24780,283715,1414,97,77215,5305,99972,303818,57301,42671,74729,95792,9235,4189,7792,8598,67372,22075,16570,5505,28669,23715,4954,16628,20562,69348,400272,196636,21175,33782,26619,33038,41082,203636,21322,31598,26319,35434,49148,42497,65380,52938,68472,90230,43.61616162,41.50505051,42.65656566,156414,98082,472,91147,90281,7329,58332,164487,92388,35,87354,85191,7162,72099,62009.66667,32977.25253,1682.161616,22078.11111,0,16027.07071,12980.9596,24668.15152,62780.40404,99972,8177,237293,237293,150716,86577,150716,112762,37954,1901.080808,860.4141414,258425.2626,96.65949495,64800,1,15,61,99,1323,37287
"Salt Lake City, UT",223,22,53,1087873,250518,352793,540665,547208,276814,25.0070852,182676,811059,7029,15655,14994,33811,250518,903969,159733,90785,198478,368497,20256,8996,25074,19815,136926,50384,37669,12715,51891,42183,9708,34651,14658,88777,1087873,547208,57975,134596,67460,69481,53358,540665,55809,127929,65012,70399,65055,113784,262525,132472,139880,118413,31.91479821,30.53811659,31.24663677,387539,308143,959,297929,288216,18968,79396,388245,250567,181,243507,236005,14381,137678,69716.07623,9120.430493,3679.479821,42614.66816,10009.37668,29984.00448,16222.44395,49790.93722,71837.15695,250518,18375,375835,375835,352793,23042,352793,243024,109769,1939.515695,972.573991,249310.7623,102.8317937,72500,11,42,106,223,42425,116889
"San Angelo, TX",27,9,8,113422,28635,42704,57832,55590,47317,43.79296296,40129,66105,420,78,4019,1052,28635,88934,16493,12142,21259,29464,3471,1367,2030,1681,16917,6261,5144,1117,7808,6654,1154,2848,5495,15284,113422,55590,8039,10620,6608,8179,8512,57832,7447,10544,7130,8843,10830,15486,21164,13738,17022,19342,37.55555556,35.2962963,36.55555556,42645,31183,3143,26547,26334,1706,11462,45387,26701,1006,24774,23932,1763,18686,54116.11111,18599.14815,4223.259259,25437.03704,0,30610.11111,23115.37037,43468.14815,57038.22222,28635,3398,47705,47705,42704,5001,42704,29166,13538,1898.407407,643.8148148,93870.37037,97.77740741,61200,1,7,10,27,2595,37345
"San Antonio-New Braunfels, TX",458,306,164,2162993,513473,734921,1100336,1062657,1372610,63.5559607,1161563,790383,5385,2057,130160,42979,513473,1759502,293323,220150,370613,675819,60074,22644,50931,41661,272046,102945,83468,19477,118503,102895,15608,50598,46499,225919,2162993,1062657,115771,220858,146177,150695,133311,1100336,107835,225257,151590,164256,167650,223606,446115,297767,314951,300961,35.88427948,33.69650655,34.77947598,764725,552127,18735,511869,497623,35769,212598,815676,475443,6171,455014,436965,32307,340233,62191.15502,35189.57424,6070.144105,25971.32969,325.6113537,45541.05895,24007.64629,54268.60262,66101.25983,513473,62664,821698,821698,734921,86777,734921,483008,251913,1935.827511,815.580786,132619.6507,104.4426419,63400,37,127,152,458,137138,1466643
"San Diego-Carlsbad, CA",628,274,197,3095313,703747,1061789,1541634,1553679,1595266,50.22151274,991348,1500047,14098,13504,146600,328058,703747,2418290,409033,294714,526899,884523,54977,45191,84680,70529,499831,173062,121393,51669,184980,144989,39991,141789,104347,337724,3095313,1553679,200607,350117,215401,222804,193351,1541634,167238,331817,213945,232568,243297,367845,681934,429346,455372,436648,36.93789809,34.87101911,35.91242038,1193272,878010,68091,780395,746407,63512,315262,1197198,697732,9844,666022,634500,53388,499466,76960.66083,35851.86943,7214.050955,67197.24363,4045.697452,43365.28981,40960.18153,59022.86943,82667.99682,703747,60376,1154874,1154874,1061789,93085,1061789,593945,467844,1936.315287,1345.041401,481466.7643,103.1018631,73000,63,134,227,628,303242,1385477
"San Francisco-Redwood City-South San Francisco, CA",355,198,99,1523686,322846,591714,762056,761630,882626,54.83177465,304276,641060,2953,13012,65544,441634,322846,1089526,190168,132678,245286,352425,21416,30739,50800,36389,380307,132321,93714,38607,136547,106683,29864,111439,23666,201220,1523686,761630,66553,201061,121333,124284,112003,762056,66238,190564,110279,121814,142261,132791,391625,231612,246098,254264,39.18028169,37.96338028,38.68732394,626651,465824,379,447416,431775,33670,160827,632436,399465,29,385568,373804,25632,232971,108628.1127,26043.22254,5184.971831,95997.46197,7928.067606,37755.27606,45819.13239,76050.84225,117739.8592,322846,18842,642599,642599,591714,50885,591714,282177,309537,1920.532394,1462.667606,745378.2141,106.6624507,96900,40,59,132,355,163876,925784
"San Germán, PR",33,30,4,188480,45676,61855,97573,90907,187309,90.31484848,187062,1171,12,6,99,66,45676,170704,24525,21151,28598,69909,11155,1957,6125,4148,18142,7076,6241,835,9103,8441,662,1963,683,30750,188480,90907,8888,16868,11134,13038,18117,97573,8571,18043,12420,15175,21959,17459,34911,23554,28213,40076,36.96969697,33.81818182,35.42424242,70886,33625,101,32645,28291,5233,37261,78448,25399,0,24994,21746,3653,53049,16715.57576,17714.66667,75.72727273,0,0,13311.81818,6170.333333,16730.87879,10431.90909,45676,21936,84309,84309,61855,22454,61855,45980,15875,1798.969697,347.0606061,86324.24242,92.11030303,20500,0,4,20,33,0,188480
"San Jose-Sunnyvale-Santa Clara, CA",383,269,126,1836911,434720,613559,915431,921480,1188848,63.5873107,510396,648063,4273,6317,42686,566764,434720,1521406,277055,157665,337686,542512,29014,36298,63690,45029,239106,89526,66169,23357,89313,73642,15671,60267,33376,191703,1836911,921480,86518,214755,144769,135444,111836,915431,76662,206077,139283,136738,139218,163180,420832,284052,272182,251054,37.25587467,35.9921671,36.65013055,701139,527048,588,509243,485600,40860,174091,702554,416487,67,403340,382952,33468,286067,103561.6188,39606.56397,8048.315927,110986.0548,3246.480418,56687.06527,50287.76501,72247.01828,110951.9217,434720,27005,644198,644198,613559,30639,613559,364206,249353,1950.840731,1508.08094,666912.154,102.9893734,106300,36,90,143,383,164350,1336160
"San Juan-Carolina-Caguas, PR",610,585,209,2605948,639674,863840,1364020,1241928,2586493,95.12014754,2578110,19455,244,48,3853,2362,639674,2333961,313516,326158,375286,978101,122381,33035,76283,68219,266412,95913,80511,15402,128253,114927,13326,42246,27958,356484,2605948,1241928,129785,248855,162949,175208,201426,1364020,130191,270396,184588,209200,260127,259976,519251,347537,384408,461553,37.45409836,33.83770492,35.7852459,956071,528561,1404,509557,449275,77882,427510,1089627,473552,162,463475,400364,73026,616075,26540.9,22154.52295,766.7311475,1869.172131,0,23260.68033,20170.4541,24925.8541,11070.89344,639674,243908,1024697,1024697,863840,160857,863840,627857,235983,1847.847541,460.1770492,125603.7705,100.7557541,27000,41,168,203,610,133115,2605948
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",54,5,5,269637,64250,102434,131638,137999,77941,27.51203704,55973,191696,1367,346,5128,8106,64250,193973,39702,24548,50480,61122,3961,1645,4080,6305,54733,17357,11276,6081,20827,15565,5262,16549,16871,39100,269637,137999,21965,25107,17969,23727,23243,131638,17580,21141,16226,24354,27484,39545,46248,34195,48081,50727,40.66666667,38.14814815,39.59259259,113464,70132,189,66954,64430,5513,43332,108018,61312,43,59115,57130,4139,46706,73234.35185,6047.759259,12480.96296,45786.98148,0,37036.64815,28109.57407,50230.85185,76049.51852,64250,3816,116323,116323,102434,13889,102434,62880,39554,1869.37037,1098.888889,510396.2963,98.36296296,77100,1,4,33,54,1287,28187
